t,T,s,i,o,c,h,l,v,n
1740038400000,1740041999999,HYPE,1h,24.568,24.698,24.725,24.34,158662.29,6752
1740042000000,1740045599999,HYPE,1h,24.697,24.842,24.898,24.592,142664.5,6239
1740045600000,1740049199999,HYPE,1h,24.834,25.066,25.107,24.742,215254.58,6800
1740049200000,1740052799999,HYPE,1h,25.045,24.993,25.224,24.893,227643.9,9627
1740052800000,1740056399999,HYPE,1h,24.986,24.762,25.163,24.605,170977.34,9043
1740056400000,1740059999999,HYPE,1h,24.762,24.734,25.013,24.549,257208.77,11086
1740060000000,1740063599999,HYPE,1h,24.733,24.645,25.0,24.564,435951.61,13962
1740063600000,1740067199999,HYPE,1h,24.649,24.056,24.742,23.96,399682.12,9967
1740067200000,1740070799999,HYPE,1h,24.055,24.319,24.518,23.98,378253.85,10015
1740070800000,1740074399999,HYPE,1h,24.31,24.672,24.687,24.262,167476.27,6221
1740074400000,1740077999999,HYPE,1h,24.674,24.65,24.932,24.598,178192.68,7542
1740078000000,1740081599999,HYPE,1h,24.648,24.573,24.7,24.352,233094.09,7104
1740081600000,1740085199999,HYPE,1h,24.573,24.706,24.96,24.356,550444.45,12049
1740085200000,1740088799999,HYPE,1h,24.709,24.238,24.717,24.081,327430.6,8136
1740088800000,1740092399999,HYPE,1h,24.223,24.26,24.4,24.205,113201.71,4158
1740092400000,1740095999999,HYPE,1h,24.261,24.479,24.498,24.2,143549.92,5767
1740096000000,1740099599999,HYPE,1h,24.479,24.647,24.675,24.465,141210.89,6319
1740099600000,1740103199999,HYPE,1h,24.651,24.616,24.8,24.501,186330.08,6047
1740103200000,1740106799999,HYPE,1h,24.619,24.566,24.75,24.487,122750.17,4337
1740106800000,1740110399999,HYPE,1h,24.573,24.779,24.809,24.549,129430.97,4562
1740110400000,1740113999999,HYPE,1h,24.779,24.973,24.981,24.759,158978.15,5678
1740114000000,1740117599999,HYPE,1h,24.975,25.03,25.2,24.851,169234.18,4744
1740117600000,1740121199999,HYPE,1h,25.03,25.209,25.3,25.012,146389.46,4219
1740121200000,1740124799999,HYPE,1h,25.208,24.848,25.291,24.848,195323.2,5711
1740124800000,1740128399999,HYPE,1h,24.863,24.998,25.065,24.811,146282.18,4126
1740128400000,1740131999999,HYPE,1h,24.998,25.2,25.446,24.992,252436.32,7493
1740132000000,1740135599999,HYPE,1h,25.2,25.295,25.336,25.063,105183.05,3648
1740135600000,1740139199999,HYPE,1h,25.295,25.019,25.295,24.965,98492.03,3729
1740139200000,1740142799999,HYPE,1h,25.019,25.18,25.22,24.988,100898.41,3681
1740142800000,1740146399999,HYPE,1h,25.187,25.474,25.493,25.098,300160.31,6633
1740146400000,1740149999999,HYPE,1h,25.474,25.194,25.492,25.063,195397.15,6334
1740150000000,1740153599999,HYPE,1h,25.172,25.272,25.294,23.677,1737783.86,35798
1740153600000,1740157199999,HYPE,1h,25.272,25.537,26.0,25.118,1671883.99,34173
1740157200000,1740160799999,HYPE,1h,25.537,24.896,25.629,24.69,827625.99,20468
1740160800000,1740164399999,HYPE,1h,24.897,24.67,25.244,24.65,581116.33,14371
1740164400000,1740167999999,HYPE,1h,24.674,24.207,24.748,23.742,881131.53,24500
1740168000000,1740171599999,HYPE,1h,24.206,24.591,24.689,24.084,475140.65,13875
1740171600000,1740175199999,HYPE,1h,24.59,24.736,24.889,24.369,376666.06,12828
1740175200000,1740178799999,HYPE,1h,24.729,24.852,25.145,24.675,303772.1,9866
1740178800000,1740182399999,HYPE,1h,24.843,25.058,25.094,24.637,173051.6,7290
1740182400000,1740185999999,HYPE,1h,25.047,24.983,25.051,24.601,278391.69,8708
1740186000000,1740189599999,HYPE,1h,24.986,24.905,25.188,24.897,121152.53,5397
1740189600000,1740193199999,HYPE,1h,24.907,24.902,25.1,24.858,139689.59,4970
1740193200000,1740196799999,HYPE,1h,24.897,24.832,25.04,24.817,95847.12,4656
1740196800000,1740200399999,HYPE,1h,24.832,24.826,24.858,24.75,94071.28,4640
1740200400000,1740203999999,HYPE,1h,24.826,24.84,24.858,24.72,83631.18,6121
1740204000000,1740207599999,HYPE,1h,24.836,24.728,24.858,24.672,116484.79,5145
1740207600000,1740211199999,HYPE,1h,24.727,24.434,24.731,24.381,103081.93,4325
1740211200000,1740214799999,HYPE,1h,24.435,24.291,24.481,24.25,104820.99,5210
1740214800000,1740218399999,HYPE,1h,24.293,24.36,24.492,24.22,131757.1,7212
1740218400000,1740221999999,HYPE,1h,24.358,24.52,24.581,24.357,90998.76,5378
1740222000000,1740225599999,HYPE,1h,24.523,24.564,24.621,24.482,74633.54,5427
1740225600000,1740229199999,HYPE,1h,24.563,24.671,24.704,24.491,102134.81,5271
1740229200000,1740232799999,HYPE,1h,24.67,24.658,24.775,24.624,104812.55,4587
1740232800000,1740236399999,HYPE,1h,24.668,24.595,24.768,24.501,153983.62,5737
1740236400000,1740239999999,HYPE,1h,24.611,24.658,24.75,24.572,116975.04,4988
1740240000000,1740243599999,HYPE,1h,24.653,24.631,24.785,24.63,96899.5,4281
1740243600000,1740247199999,HYPE,1h,24.631,24.474,24.651,24.4,140405.03,5086
1740247200000,1740250799999,HYPE,1h,24.475,24.51,24.632,24.474,60366.65,3085
1740250800000,1740254399999,HYPE,1h,24.513,24.814,24.826,24.45,216182.58,7765
1740254400000,1740257999999,HYPE,1h,24.824,24.899,24.976,24.73,116171.48,4956
1740258000000,1740261599999,HYPE,1h,24.9,24.852,25.062,24.75,164206.37,4202
1740261600000,1740265199999,HYPE,1h,24.857,24.805,24.895,24.765,34487.64,1731
1740265200000,1740268799999,HYPE,1h,24.805,24.741,24.874,24.741,49750.02,2139
1740268800000,1740272399999,HYPE,1h,24.789,24.49,24.813,24.407,202951.26,6853
1740272400000,1740275999999,HYPE,1h,24.491,24.331,24.525,24.243,157911.71,8040
1740276000000,1740279599999,HYPE,1h,24.33,24.279,24.359,24.279,115016.15,4881
1740279600000,1740283199999,HYPE,1h,24.281,24.323,24.42,24.231,104966.34,4937
1740283200000,1740286799999,HYPE,1h,24.325,24.171,24.337,24.151,81223.34,4282
1740286800000,1740290399999,HYPE,1h,24.18,24.123,24.233,24.106,105375.43,4365
1740290400000,1740293999999,HYPE,1h,24.12,24.347,24.398,24.112,99521.06,4203
1740294000000,1740297599999,HYPE,1h,24.343,24.408,24.476,24.26,146088.11,5056
1740297600000,1740301199999,HYPE,1h,24.408,24.21,24.429,24.209,95499.18,3877
1740301200000,1740304799999,HYPE,1h,24.211,24.19,24.288,24.153,68300.93,3150
1740304800000,1740308399999,HYPE,1h,24.186,23.836,24.219,23.8,243902.37,7166
1740308400000,1740311999999,HYPE,1h,23.833,23.73,24.004,23.65,187859.2,6440
1740312000000,1740315599999,HYPE,1h,23.73,23.49,23.895,23.37,284637.88,9061
1740315600000,1740319199999,HYPE,1h,23.489,23.737,23.756,23.434,149824.67,5624
1740319200000,1740322799999,HYPE,1h,23.736,23.495,23.893,23.449,118368.23,4865
1740322800000,1740326399999,HYPE,1h,23.495,23.517,23.604,23.42,164189.05,5987
