coin,fundingRate,premium,time
HYPE,1.25e-05,0.0002611573,1740042000027
HYPE,1.25e-05,-9.2987e-06,1740045600063
HYPE,1.25e-05,-1.19425e-05,1740049200004
HYPE,1.25e-05,-5.14777e-05,1740052800109
HYPE,1.25e-05,3.14124e-05,1740056400140
HYPE,1.25e-05,6.68181e-05,1740060000075
HYPE,7.81661e-05,0.0011253292,1740063600003
HYPE,1.25e-05,0.0003578492,1740067200078
HYPE,1.25e-05,0.000130812,1740070800036
HYPE,3.25725e-05,0.0007605802,1740074400010
HYPE,1.25e-05,0.000485498,1740078000089
HYPE,1.25e-05,-3.72551e-05,1740081600003
HYPE,4.0587e-05,0.0008246962,1740085200050
HYPE,1.25e-05,0.000132165,1740088800095
HYPE,1.25e-05,0.0005239618,1740092400039
HYPE,7.45481e-05,0.0010963847,1740096000115
HYPE,1.83573e-05,0.0006468583,1740099600066
HYPE,1.25e-05,8.03322e-05,1740103200000
HYPE,1.25e-05,-0.0001588407,1740106800085
HYPE,1.25e-05,-0.0002201587,1740110400025
HYPE,1.25e-05,-0.0001620797,1740114000031
HYPE,1.25e-05,-1.67427e-05,1740117600000
HYPE,1.25e-05,0.0005278196,1740121200091
HYPE,1.25e-05,0.0001888593,1740124800085
HYPE,1.25e-05,0.0004916092,1740128400036
HYPE,1.25e-05,0.0004747395,1740132000029
HYPE,1.25e-05,0.0005907922,1740135600119
HYPE,1.25e-05,0.0005225113,1740139200082
HYPE,1.25e-05,0.0001091171,1740142800025
HYPE,1.25e-05,0.0003327446,1740146400023
HYPE,1.25e-05,0.0001477644,1740150000029
HYPE,4.87799e-05,0.0008902391,1740153600016
HYPE,2.77677e-05,0.000722142,1740157200025
HYPE,6.55632e-05,0.0010245056,1740160800043
HYPE,4.27787e-05,0.0008422299,1740164400059
HYPE,0.0001002955,0.001302364,1740168000059
HYPE,7.96848e-05,0.0011374788,1740171600000
HYPE,1.25e-05,0.0003874055,1740175200028
HYPE,1.25e-05,0.0002356495,1740178800096
HYPE,1.25e-05,0.0005577439,1740182400015
HYPE,1.25e-05,0.0001213325,1740186000018
HYPE,1.25e-05,0.0001566506,1740189600086
HYPE,1.25e-05,0.0003164013,1740193200084
HYPE,1.25e-05,7.53309e-05,1740196800048
HYPE,1.25e-05,8.3005e-06,1740200400000
HYPE,1.25e-05,-0.000108595,1740204000091
HYPE,1.25e-05,-0.0003048222,1740207600123
HYPE,1.25e-05,-8.35072e-05,1740211200020
HYPE,1.25e-05,0.0001191225,1740214800014
HYPE,2.14252e-05,0.0006714014,1740218400206
HYPE,3.24918e-05,0.0007599345,1740222000022
HYPE,1.82044e-05,0.0006456352,1740225600115
HYPE,1.25e-05,0.0003921992,1740229200015
HYPE,1.25e-05,0.0005823175,1740232800051
