coin,fundingRate,premium,time,hour,t,T,s,i,o,c,h,l,v,n
HYPE,1.25e-05,0.0002611573,1740042000027,1740042000000,1740042000000,1740045599999,HYPE,1h,24.697,24.842,24.898,24.592,142664.5,6239
HYPE,1.25e-05,-9.2987e-06,1740045600063,1740045600000,1740045600000,1740049199999,HYPE,1h,24.834,25.066,25.107,24.742,215254.58,6800
HYPE,1.25e-05,-1.19425e-05,1740049200004,1740049200000,1740049200000,1740052799999,HYPE,1h,25.045,24.993,25.224,24.893,227643.9,9627
HYPE,1.25e-05,-5.14777e-05,1740052800109,1740052800000,1740052800000,1740056399999,HYPE,1h,24.986,24.762,25.163,24.605,170977.34,9043
HYPE,1.25e-05,3.14124e-05,1740056400140,1740056400000,1740056400000,1740059999999,HYPE,1h,24.762,24.734,25.013,24.549,257208.77,11086
HYPE,1.25e-05,6.68181e-05,1740060000075,1740060000000,1740060000000,1740063599999,HYPE,1h,24.733,24.645,25.0,24.564,435951.61,13962
HYPE,7.81661e-05,0.0011253292,1740063600003,1740063600000,1740063600000,1740067199999,HYPE,1h,24.649,24.056,24.742,23.96,399682.12,9967
HYPE,1.25e-05,0.0003578492,1740067200078,1740067200000,1740067200000,1740070799999,HYPE,1h,24.055,24.319,24.518,23.98,378253.85,10015
HYPE,1.25e-05,0.000130812,1740070800036,1740070800000,1740070800000,1740074399999,HYPE,1h,24.31,24.672,24.687,24.262,167476.27,6221
HYPE,3.25725e-05,0.0007605802,1740074400010,1740074400000,1740074400000,1740077999999,HYPE,1h,24.674,24.65,24.932,24.598,178192.68,7542
HYPE,1.25e-05,0.000485498,1740078000089,1740078000000,1740078000000,1740081599999,HYPE,1h,24.648,24.573,24.7,24.352,233094.09,7104
HYPE,1.25e-05,-3.72551e-05,1740081600003,1740081600000,1740081600000,1740085199999,HYPE,1h,24.573,24.706,24.96,24.356,550444.45,12049
HYPE,4.0587e-05,0.0008246962,1740085200050,1740085200000,1740085200000,1740088799999,HYPE,1h,24.709,24.238,24.717,24.081,327430.6,8136
HYPE,1.25e-05,0.000132165,1740088800095,1740088800000,1740088800000,1740092399999,HYPE,1h,24.223,24.26,24.4,24.205,113201.71,4158
